name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.xalan.extensions.ObjectFactory,0.09420289855072464,0.0,0.0,0.023255813953488372,0.1144859813084112,0.00760727445619874,0.01282051282051282,0.029850746268656716,0.0,0.4583333335,0.15571396747605257,0.833333333,0.0,0.0,0.3125,0.0,0.0,0.027897435898666667,0.11188811188811189,0.11642206130663249,1
org.apache.xpath.XPathFactory,0.007246376811594203,0.0,0.0,0.01744186046511628,0.002336448598130841,0.0,0.00641025641025641,0.029850746268656716,0.007692307692307693,1.0,0.00022276676319893073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006993006993006993,0.047297201424591706,1
org.apache.xml.dtm.ref.ExtendedType,0.06521739130434782,0.0,0.0,0.046511627906976744,0.02803738317757009,0.0,0.05128205128205128,0.0,0.05384615384615385,0.203125,0.026063711294274896,1.0,0.0,0.0,0.5,0.2,0.06060606060606061,0.006162962965333333,0.027972027972027972,0.05255192050286384,1
org.apache.xml.utils.res.XResourceBundle,0.028985507246376812,0.2857142857142857,0.6206896551724138,0.11627906976744186,0.037383177570093455,0.0007131819802686319,0.12179487179487179,0.014925373134328358,0.023076923076923078,0.6666666665,0.09467587435954557,0.0,0.0,0.926829268,0.416666667,0.0,0.0,0.053733333333333334,0.02097902097902098,0.05912150178073963,1
org.apache.xalan.xsltc.compiler.util.FilterGenerator,0.028985507246376812,0.42857142857142855,0.0,0.03488372093023256,0.014018691588785045,0.00023772732675621063,0.01282051282051282,0.05970149253731343,0.023076923076923078,0.3333333335,0.006460236132768991,1.0,0.0,0.975903614,0.466666667,0.0,0.0,0.0030666666666666668,0.006993006993006993,0.023648600712295853,1
org.apache.xalan.lib.PipeDocument,0.021739130434782608,0.0,0.0,0.05813953488372093,0.10747663551401869,0.00035659099013431595,0.0,0.14925373134328357,0.023076923076923078,1.0,0.059478725774114505,0.0,0.0,0.0,0.466666667,0.0,0.0,0.046933333333333334,0.006993006993006993,0.03153304418977529,1
org.apache.xalan.xsltc.compiler.Variable,0.043478260869565216,0.42857142857142855,0.0,0.20348837209302326,0.10747663551401869,0.00035659099013431595,0.07051282051282051,0.417910447761194,0.038461538461538464,1.0,0.06103809311650702,0.0,0.0,0.938271605,0.4,0.4,0.3939393939393939,0.023822222224,0.055944055944055944,0.1734246484635504,1
org.apache.xpath.objects.XNodeSet,0.2391304347826087,0.42857142857142855,0.10344827586206896,0.26744186046511625,0.17757009345794392,0.056103649114465706,0.17307692307692307,0.29850746268656714,0.23846153846153847,0.4888392855,0.13611049231454667,0.0,0.3529411764705882,0.801470588,0.173611111,0.6000000000000001,0.9090909090909092,0.009228282826666667,0.013986013986013986,0.05446272744041735,1
org.apache.xalan.xsltc.compiler.SyntaxTreeNode,0.41304347826086957,0.0,0.1724137931034483,0.5813953488372093,0.29205607476635514,0.14239866872697016,0.47435897435897434,0.6865671641791045,0.07692307692307693,0.455357143,0.26687458231231903,0.916666667,0.4117647058823529,0.0,0.150297619,0.0,0.0,0.010563742688,0.1258741258741259,0.10206263095412645,1
org.apache.xalan.xsltc.compiler.util.RealType,0.2028985507246377,0.2857142857142857,0.0,0.2441860465116279,0.1425233644859813,0.04397955544989897,0.08333333333333333,0.5074626865671642,0.2,0.5,0.11873468478503008,0.0,0.0,0.564516129,0.181547619,0.2,0.09090909090909091,0.009600000000000001,0.06993006993006994,0.08614712267475133,1
org.apache.xpath.operations.Or,0.021739130434782608,0.2857142857142857,0.0,0.03488372093023256,0.016355140186915886,0.00011886366337810531,0.00641025641025641,0.07462686567164178,0.023076923076923078,0.75,0.009578970817554022,0.0,0.0,0.953488372,0.833333333,0.2,0.18181818181818182,0.006933333333333334,0.006993006993006993,0.03153304418977529,1
org.apache.xalan.xsltc.TransletException,0.021739130434782608,0.42857142857142855,0.0,0.0755813953488372,0.011682242990654205,0.00035659099013431595,0.08333333333333333,0.0,0.023076923076923078,0.75,0.0037870349743818225,0.0,0.0,1.0,0.555555556,0.0,0.0,0.002311111110933333,0.0,0.0,1
org.apache.xalan.xsltc.compiler.ApplyTemplates,0.043478260869565216,0.2857142857142857,0.0,0.16279069767441862,0.14018691588785046,0.0,0.019230769230769232,0.40298507462686567,0.038461538461538464,0.325,0.08353753619959903,1.0,0.1764705882352941,0.918032787,0.305555556,0.2,0.15151515151515152,0.03244444444266667,0.09090909090909091,0.16554020498607097,1
org.apache.xalan.xsltc.runtime.Hashtable,0.10869565217391304,0.0,0.0,0.08139534883720931,0.06074766355140186,0.00011886366337810531,0.08333333333333333,0.029850746268656716,0.1076923076923077,0.2767857145,0.10625974604588996,1.0,0.058823529411764705,0.0,0.383333333,0.0,0.0,0.01628444444266667,0.04195804195804196,0.11666800675404036,1
org.apache.xml.utils.DOM2Helper,0.07971014492753624,0.14285714285714285,0.0,0.040697674418604654,0.06775700934579439,0.006299774159039582,0.02564102564102564,0.04477611940298507,0.08461538461538462,0.4,0.027845845399866342,1.0,0.0,0.714285714,0.327272727,0.2,0.15151515151515152,0.005478787877333334,0.027972027972027972,0.06879377947206863,1
org.apache.xalan.templates.ElemIf,0.057971014492753624,0.2857142857142857,0.0,0.0755813953488372,0.06542056074766354,0.0,0.0,0.19402985074626866,0.05384615384615385,0.357142857,0.027177545110269548,0.5,0.058823529411764705,0.965517241,0.270833333,0.4,0.15151515151515152,0.007466666666666667,0.013986013986013986,0.047297201424591706,1
org.apache.xml.utils.NameSpace,0.007246376811594203,0.0,0.0,0.005813953488372093,0.004672897196261682,0.0,0.00641025641025641,0.0,0.007692307692307693,1.0,0.0037870349743818225,0.0,0.058823529411764705,0.0,1.0,0.0,0.0,0.0064,0.0,0.0,1
org.apache.xpath.operations.Bool,0.021739130434782608,0.2857142857142857,0.0,0.03488372093023256,0.016355140186915886,0.00035659099013431595,0.00641025641025641,0.07462686567164178,0.023076923076923078,0.75,0.005569169079973268,0.0,0.0,0.952380952,0.555555556,0.2,0.030303030303030304,0.0037333333333333333,0.006993006993006993,0.03153304418977529,1
org.apache.xalan.xsltc.compiler.ConcatCall,0.021739130434782608,0.42857142857142855,0.0,0.11046511627906977,0.0514018691588785,0.00035659099013431595,0.0,0.2835820895522388,0.023076923076923078,1.0,0.029182445979059925,0.0,0.0,0.979591837,0.444444444,0.6000000000000001,0.42424242424242425,0.022755555557333332,0.03496503496503497,0.09459440284918341,1
org.apache.xalan.lib.Redirect,0.07246376811594203,0.0,0.0,0.06976744186046512,0.11214953271028036,0.002971591584452633,0.0,0.1791044776119403,0.05384615384615385,0.4166666665,0.11583871686344398,0.5,0.0,0.0,0.3,0.0,0.0,0.02698666666666667,0.04895104895104895,0.07094580213688756,1
org.apache.xalan.res.XSLTErrorResources_pl,0.028985507246376812,0.2857142857142857,0.0,0.005813953488372093,0.035046728971962614,0.0007131819802686319,0.0,0.014925373134328358,0.023076923076923078,0.6666666665,0.9512140788594342,0.0,0.0,0.926829268,0.333333333,0.0,0.0,0.5364,0.013986013986013986,0.047297201424591706,1
org.apache.xalan.xsltc.runtime.ErrorMessages_de,0.014492753623188406,0.2857142857142857,0.0,0.0,0.007009345794392522,0.00011886366337810531,0.0,0.0,0.015384615384615385,1.0,0.051013588772555137,0.0,0.0,0.974358974,1.0,0.0,0.0,0.060533333333333335,0.006993006993006993,0.023648600712295853,1
org.apache.xalan.xsltc.compiler.Whitespace,0.10144927536231885,0.2857142857142857,0.0,0.1744186046511628,0.18457943925233644,0.00939022940687032,0.00641025641025641,0.43283582089552236,0.05384615384615385,0.5153846155,0.17932724437513925,0.3,0.0,0.821917808,0.207142857,0.4,0.18181818181818182,0.02975238095466667,0.07692307692307693,0.16891722516778682,1
org.apache.xalan.transformer.ClonerToResultTree,0.014492753623188406,0.0,0.0,0.040697674418604654,0.05607476635514018,0.00011886366337810531,0.019230769230769232,0.05970149253731343,0.015384615384615385,1.0,0.02428157718868345,0.0,0.0,0.0,0.5,0.0,0.0,0.028533333333333334,0.006993006993006993,0.023648600712295853,1
