dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1,0,6,19,7,0,6,6,0.75,117,1.0,2,0.0,0.366666667,0,0,15.14285714,3,1.1429,0
1,0,1,17,64,0,1,12,0.916666667,117,1.0,0,0.0,0.461538462,0,0,7.461538462,3,1.3846,0
4,4,48,12,19,47,1,6,0.944444444,44,0.333333333,0,0.866666667,0.458333333,0,0,4.857142857,1,0.2857,0
1,0,4,4,6,2,2,4,2.0,4,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
5,0,2,8,6,1,1,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,0
1,0,8,14,3,3,5,3,2.0,85,0.0,0,0.0,0.5,0,0,27.33333333,9,3.3333,0
1,0,2,6,6,1,1,5,0.916666667,25,1.0,1,0.0,0.466666667,0,0,3.4,1,0.8,0
1,0,6,31,1,0,6,9,0.5,156,1.0,1,0.0,0.355555556,0,0,14.4,1,0.8,1
1,0,6,9,36,3,3,9,2.0,9,0.0,0,0.0,0.425925926,0,0,0.0,1,1.0,0
1,0,6,19,83,4,2,15,0.928571429,123,1.0,2,0.0,0.20952381,1,1,6.733333333,7,1.4,0
1,0,1,34,389,0,1,29,0.946708464,266,1.0,0,0.0,0.433333333,0,0,7.5,3,1.4667,0
1,0,30,155,485,0,30,34,0.922604423,1564,1.0,7,0.0,0.138314785,0,0,39.57894737,7,1.4737,1
1,0,4,19,0,2,2,10,0.694444444,115,1.0,3,0.0,0.35,1,1,10.1,5,1.3,0
1,0,3,9,3,0,3,3,2.0,40,0.0,0,0.0,0.5,0,0,12.33333333,5,2.0,0
1,0,8,18,13,7,1,11,0.775,130,1.0,1,0.0,0.287878788,1,1,10.45454545,7,1.3636,0
1,1,14,29,21,5,9,6,0.777777778,150,1.0,0,0.0,0.44,0,0,13.6,2,1.2,0
4,0,3,10,3,0,3,3,2.0,33,0.0,0,0.965517241,0.833333333,0,0,10.0,1,0.6667,0
1,0,29,121,373,0,29,31,0.910294118,1250,1.0,5,0.0,0.165966387,0,0,34.14285714,5,1.2286,0
