LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
3,3,2,0,9,4,2,0.22,2,2.0,2,1.0,8,1,0,9,3,13.59,10.67,1546.1,0.05,33,0.09,85.89,144.95,0.5,1,2,8,0.09,16,17,9,12,22,50.0,9,N
11,12,10,0,15,6,9,0.16,2,3.0,8,0.89,29,1,0,58,0,39.93,28.29,31947.46,0.38,170,0.04,1774.86,1129.46,0.11,2,3,22,0.11,72,98,56,44,85,20.55,58,N
11,19,2,0,0,24,11,0.22,10,2.4,6,0.55,35,8,0,49,0,37.25,32.25,38746.22,0.4,201,0.03,2152.57,1201.43,0.73,7,12,26,0.18,86,115,36,27,61,0.0,49,N
5,3,1,0,0,4,2,0.11,2,2.0,2,1.0,17,1,0,19,1,51.65,15.24,11992.27,0.26,162,0.07,666.24,786.99,0.5,1,2,17,0.08,80,82,21,8,25,0.0,19,N
5,5,6,0,5,8,3,0.13,4,2.0,3,1.0,14,1,0,24,2,51.32,12.79,8399.67,0.22,121,0.08,466.65,656.58,0.33,2,4,13,0.09,53,68,29,14,35,17.24,24,N
10,11,14,0,12,16,6,0.15,8,2.0,6,1.0,38,1,0,40,2,51.19,16.75,14362.03,0.29,147,0.06,797.89,857.43,0.17,4,8,34,0.1,67,80,38,19,63,23.08,40,N
0,3,2,0,0,4,2,0.5,2,2.0,2,1.0,6,1,0,4,0,14.62,2.5,91.35,0.01,11,0.4,5.08,36.54,0.5,1,2,6,0.4,5,6,5,5,5,0.0,4,N
0,3,0,0,0,4,2,0.5,2,2.0,1,0.5,5,1,0,4,1,8.43,5.33,239.85,0.01,13,0.19,13.33,44.97,0.5,1,2,5,0.4,4,9,3,8,5,0.0,4,N
6,15,11,0,2,26,8,0.24,12,2.17,7,0.88,37,7,0,34,0,47.8,16.05,12318.72,0.26,131,0.06,684.37,767.4,0.88,7,13,31,0.19,61,70,38,20,43,5.56,34,N
3,5,4,0,0,8,3,0.38,4,2.0,3,1.0,12,1,0,8,0,34.55,3.5,423.25,0.04,29,0.29,23.51,120.93,0.33,2,4,11,0.25,14,15,12,6,12,0.0,8,N
15,31,10,0,11,50,16,0.27,20,2.5,10,0.63,70,13,0,59,0,71.74,17.83,22807.44,0.43,206,0.06,1267.08,1279.15,0.81,15,25,56,0.19,90,116,53,21,86,15.71,59,Y
0,3,3,0,1,4,2,0.33,2,2.0,2,1.0,7,1,0,6,2,25.16,2.5,157.27,0.02,17,0.4,8.74,62.91,0.5,1,2,7,0.25,8,9,8,5,8,14.29,6,N
6,24,2,0,5,16,19,0.44,8,2.0,3,0.16,51,4,0,43,1,49.79,27.19,36801.7,0.45,216,0.04,2044.54,1353.63,0.21,4,8,34,0.35,90,126,48,29,55,10.42,43,N
4,9,14,0,2,12,5,0.21,6,2.0,5,1.0,32,1,0,24,2,94.27,5.25,2598.43,0.16,93,0.19,144.36,494.94,0.2,3,6,29,0.16,42,51,32,8,31,7.69,24,N
1,3,1,0,1,4,2,0.2,2,2.0,1,0.5,7,1,0,10,2,14.32,7.71,852.01,0.04,26,0.13,47.33,110.45,0.5,1,2,7,0.15,9,17,7,12,13,9.09,10,N
5,5,3,0,6,8,3,0.19,4,2.0,3,1.0,13,1,0,16,2,37.53,5.5,1135.41,0.07,47,0.18,63.08,206.44,0.33,2,4,12,0.11,22,25,14,7,28,27.27,16,N
7,7,4,0,6,4,5,0.17,2,2.0,5,1.0,17,1,0,29,0,34.65,11.83,4846.19,0.14,77,0.08,269.23,409.79,0.2,1,2,14,0.12,32,45,23,17,43,17.14,29,N
2,3,2,0,1,4,2,0.22,2,2.0,2,1.0,8,1,0,9,0,30.84,4.96,758.26,0.05,36,0.2,42.13,152.93,0.5,1,2,8,0.15,17,19,12,7,13,10.0,9,N
9,5,2,0,5,8,3,0.11,4,2.0,2,0.67,12,3,1,27,2,35.26,21.24,15905.03,0.25,138,0.05,883.61,748.82,1.0,2,4,11,0.07,59,79,25,18,42,15.63,27,N
25,37,23,0,15,38,26,0.34,18,2.11,26,1.0,94,1,0,77,1,79.98,26.99,58239.35,0.72,327,0.04,3235.52,2158.17,0.04,10,19,70,0.22,133,194,69,28,118,16.3,77,Y
2,8,7,0,0,4,6,0.32,2,2.0,6,1.0,17,1,0,19,0,36.77,10.91,4375.94,0.13,77,0.09,243.11,401.13,0.17,1,2,13,0.27,32,45,22,15,22,0.0,19,N
9,5,7,0,6,8,3,0.18,4,2.0,3,1.0,16,1,0,17,2,38.07,9.14,3182.29,0.12,69,0.11,176.79,348.06,0.33,2,4,15,0.09,32,37,21,12,33,26.09,17,N
6,7,16,0,3,8,4,0.14,4,2.0,4,1.0,30,1,0,28,2,101.03,5.96,3588.0,0.2,109,0.17,199.33,602.07,0.25,2,4,28,0.11,49,60,37,9,38,9.68,28,Y
5,5,2,0,3,8,3,0.2,4,2.0,2,0.67,11,1,0,15,0,22.75,10.62,2563.41,0.08,52,0.09,142.41,241.48,0.33,2,4,10,0.13,23,29,13,12,24,16.67,15,N
3,7,3,0,4,12,4,0.25,6,2.0,3,0.75,16,1,0,16,1,28.82,6.75,1312.96,0.06,43,0.15,72.94,194.51,0.25,3,6,14,0.17,21,22,14,9,24,20.0,16,N
7,3,5,0,2,4,2,0.11,2,2.0,2,1.0,13,1,0,19,0,64.34,4.45,1276.77,0.1,59,0.22,70.93,286.62,0.5,1,2,13,0.07,28,31,22,7,29,9.52,19,N
10,7,15,0,3,8,4,0.14,4,2.0,4,1.0,32,1,0,28,2,102.19,6.63,4493.95,0.23,122,0.15,249.66,677.66,0.25,2,4,30,0.1,56,66,38,9,42,9.68,28,N
13,25,14,0,11,40,13,0.25,16,2.5,10,0.77,69,7,0,52,0,95.37,13.19,16603.31,0.42,206,0.08,922.41,1258.36,0.54,12,20,58,0.17,95,111,54,15,77,17.46,52,Y
8,15,1,0,2,28,8,0.19,14,2.0,2,0.25,32,1,0,43,1,72.3,5.69,2338.69,0.14,83,0.18,129.93,411.2,0.13,7,14,26,0.15,39,44,24,7,54,4.44,43,N
2,3,2,0,4,4,2,0.22,2,2.0,2,1.0,7,1,0,9,2,19.51,8.0,1248.64,0.05,35,0.13,69.37,156.08,0.5,1,2,7,0.13,16,19,11,11,16,30.77,9,N
4,9,5,0,4,14,5,0.33,6,2.33,4,0.8,18,3,0,15,1,40.48,7.2,2098.65,0.1,60,0.14,116.59,291.48,0.6,4,7,15,0.21,32,28,20,9,24,21.05,15,N
2,3,4,0,0,4,2,0.15,2,2.0,2,1.0,11,1,0,13,0,45.34,6.75,2065.86,0.1,63,0.15,114.77,306.05,0.5,1,2,11,0.13,30,33,20,9,16,0.0,13,N
5,7,5,0,0,12,4,0.13,6,2.0,4,1.0,17,1,0,30,0,57.87,13.1,9925.73,0.25,138,0.08,551.43,757.88,0.25,3,6,15,0.11,58,80,31,14,36,0.0,30,N
3,3,2,0,0,4,2,0.14,2,2.0,2,1.0,8,1,0,14,0,26.83,6.92,1285.99,0.06,40,0.14,71.44,185.75,0.5,1,2,8,0.11,15,25,13,12,18,0.0,14,N
2,5,1,0,5,6,3,0.6,2,3.0,2,0.67,8,3,1,5,1,6.37,9.0,516.23,0.02,16,0.11,28.68,57.36,1.0,2,3,7,0.23,6,10,3,9,13,50.0,5,N
4,3,9,0,4,4,2,0.1,2,2.0,2,1.0,13,1,0,20,3,54.05,10.16,5580.43,0.18,100,0.1,310.02,549.19,0.5,1,2,13,0.07,45,55,31,14,29,16.67,20,N
16,23,10,0,8,38,12,0.24,16,2.38,9,0.75,57,7,0,49,1,72.52,16.2,19033.06,0.39,193,0.06,1057.39,1174.88,0.58,11,19,47,0.16,90,103,50,18,74,14.04,49,N
3,3,3,0,5,4,2,0.33,2,2.0,2,1.0,9,1,0,6,2,19.14,7.0,937.86,0.04,31,0.14,52.1,133.98,0.5,1,2,9,0.13,14,17,10,10,15,45.45,6,N
11,5,10,0,6,8,3,0.15,4,2.0,3,1.0,20,1,0,20,0,88.39,4.9,2125.07,0.14,82,0.2,118.06,433.4,0.33,2,4,19,0.08,38,44,31,8,38,23.08,20,N
0,3,1,0,0,4,2,0.29,2,2.0,2,1.0,5,1,0,7,0,8.64,4.17,150.0,0.01,12,0.24,8.33,36.0,0.5,1,2,5,0.25,5,7,3,5,8,0.0,7,N
2,3,4,0,4,4,2,0.14,2,2.0,2,1.0,8,1,0,14,0,44.39,4.76,1007.83,0.07,45,0.21,55.99,211.52,0.5,1,2,8,0.1,18,27,17,9,21,22.22,14,N
4,9,3,0,13,10,5,0.56,2,5.0,2,0.4,14,5,1,9,1,20.85,5.0,521.24,0.03,25,0.2,28.96,104.25,1.0,4,5,11,0.19,10,15,9,9,27,59.09,9,N
1,3,2,0,1,4,2,0.4,2,2.0,2,1.0,6,1,0,5,0,16.73,3.0,150.57,0.02,14,0.33,8.36,50.19,0.5,1,2,6,0.25,6,8,6,6,8,16.67,5,N
10,7,7,0,14,12,4,0.15,6,2.0,2,0.5,23,3,0,26,0,44.19,10.02,4437.26,0.15,85,0.1,246.51,442.8,0.75,3,6,21,0.08,37,48,24,13,51,35.0,26,N
7,10,1,0,2,12,6,0.15,6,2.0,5,0.83,21,1,0,39,0,29.3,25.54,19104.17,0.25,130,0.04,1061.34,748.14,0.17,3,6,17,0.12,55,75,28,26,49,4.88,39,N
25,25,9,0,18,38,14,0.22,18,2.11,12,0.86,77,1,0,63,1,81.53,17.98,26360.63,0.49,240,0.06,1464.48,1466.05,0.07,10,19,65,0.13,110,130,52,17,107,22.22,63,Y
6,6,6,0,5,4,4,0.17,2,2.0,4,1.0,17,1,0,24,0,39.16,9.04,3202.49,0.12,67,0.11,177.92,354.12,0.25,1,2,15,0.11,26,41,23,16,36,17.24,24,N
11,16,2,0,3,24,9,0.26,12,2.0,3,0.33,34,1,0,35,0,17.38,36.0,22527.81,0.21,122,0.03,1251.55,625.77,0.11,6,12,27,0.18,54,68,15,20,50,7.89,35,N
7,15,4,0,12,26,8,0.31,12,2.17,4,0.5,30,5,0,26,4,26.74,14.93,5958.66,0.13,75,0.07,331.04,399.14,0.63,7,13,24,0.17,33,42,21,19,46,31.58,26,N
22,35,10,0,12,62,18,0.27,30,2.07,3,0.17,81,4,0,66,0,68.92,17.87,22020.91,0.41,196,0.06,1223.38,1231.94,0.22,16,31,65,0.18,91,105,56,22,101,15.38,66,N
34,27,4,1,25,52,14,0.13,26,2.0,8,0.57,71,14,1,110,1,59.32,36.56,79271.67,0.72,345,0.03,4403.98,2168.46,1.0,13,26,59,0.08,155,190,53,25,171,19.12,111,N
8,29,5,0,2,56,15,0.48,28,2.0,15,1.0,75,15,1,31,0,116.24,14.08,23049.99,0.55,276,0.07,1280.56,1636.88,1.0,14,28,62,0.36,115,161,49,12,42,6.06,31,N
5,3,5,0,2,4,2,0.2,2,2.0,2,1.0,10,1,0,10,0,58.84,4.17,1021.56,0.08,51,0.24,56.75,245.18,0.5,1,2,10,0.11,25,26,21,7,18,16.67,10,N
4,11,2,0,8,20,6,0.3,10,2.0,3,0.5,24,1,0,20,1,22.99,18.44,7817.84,0.14,82,0.05,434.32,423.93,0.17,5,10,20,0.18,33,49,17,19,33,28.57,20,N
5,7,4,0,3,10,4,0.31,4,2.5,4,1.0,14,1,0,13,0,51.04,5.73,1674.07,0.1,59,0.17,93.0,292.3,0.25,3,5,12,0.18,28,31,22,9,22,18.75,13,N
2,7,0,0,0,12,4,0.36,6,2.0,1,0.25,16,1,0,11,0,12.76,29.25,10920.4,0.12,85,0.03,606.69,373.35,0.25,3,6,14,0.29,36,49,8,13,14,0.0,11,N
1,5,4,0,0,8,3,0.25,4,2.0,3,1.0,11,1,0,12,0,30.45,4.62,648.71,0.05,32,0.22,36.04,140.55,0.33,2,4,10,0.21,15,17,13,8,14,0.0,12,N
2,3,2,0,2,4,2,0.22,2,2.0,2,1.0,8,1,0,9,0,25.03,4.9,600.86,0.04,30,0.2,33.38,122.62,0.5,1,2,8,0.14,14,16,10,7,14,18.18,9,N
11,7,20,0,4,8,4,0.12,4,2.0,4,1.0,34,1,0,34,2,123.03,6.07,4532.64,0.25,131,0.16,251.81,746.76,0.25,2,4,32,0.08,58,73,43,9,50,10.53,34,N
3,5,6,0,2,4,3,0.14,2,2.0,3,1.0,17,1,0,22,0,39.27,11.45,5152.07,0.15,87,0.09,286.23,449.78,0.33,1,2,16,0.11,36,51,22,14,28,8.33,22,N
0,7,2,0,0,12,4,0.4,6,2.0,2,0.5,14,1,0,10,0,37.82,4.0,605.07,0.05,35,0.25,33.61,151.27,0.25,3,6,12,0.36,12,23,12,8,11,0.0,10,N
4,13,4,0,1,22,7,0.28,10,2.2,6,0.86,32,4,0,25,0,35.89,10.4,3882.17,0.12,74,0.1,215.68,373.29,0.57,6,11,27,0.23,32,42,20,13,31,3.85,25,N
