LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
3,3,2,0,1,4,2,0.15,2,2.0,2,1.0,10,1,0.0,13,0,22.46,15.0,5053.28,0.11,68,0.07,280.74,336.89,0.5,1,2,10,0.11,32,36,16,15,18,7.14,13,N
0,3,1,0,0,4,2,0.22,2,2.0,2,1.0,5,1,0.0,9,1,10.2,13.33,1813.33,0.05,34,0.08,100.74,136.0,0.5,1,2,5,0.2,16,18,6,10,10,0.0,9,N
2,9,5,0,0,12,5,0.25,4,3.0,5,1.0,18,4,0.75,20,2,23.94,16.5,6517.5,0.13,79,0.06,362.08,395.0,0.8,4,6,15,0.22,33,46,16,16,23,0.0,20,N
0,5,0,0,0,8,3,0.5,4,2.0,1,0.33,9,1,0.0,6,1,15.36,4.9,368.89,0.03,21,0.2,20.49,75.28,0.33,2,4,8,0.43,7,14,5,7,7,0.0,6,N
15,45,8,8,46,56,23,0.37,12,4.67,7,0.3,64,19,0.82,55,2,65.12,36.85,88450.77,0.8,389,0.03,4913.93,2400.1,0.83,22,84,43,0.18,179,210,51,21,125,49.54,63,Y
16,19,6,5,12,24,11,0.28,10,2.4,9,0.82,37,3,0.2,34,2,38.45,22.91,20177.56,0.29,151,0.04,1120.98,880.77,0.27,7,12,28,0.16,63,88,33,24,68,33.33,39,N
2,25,3,0,0,44,13,0.46,20,2.2,4,0.31,48,9,0.67,28,4,33.99,21.89,16290.19,0.25,138,0.05,905.01,744.14,0.69,12,22,37,0.42,53,85,23,19,31,0.0,28,N
4,11,2,0,0,18,6,0.32,8,2.25,2,0.33,21,3,0.4,19,0,17.53,23.33,9541.89,0.14,87,0.04,530.11,408.94,0.5,5,9,17,0.25,40,47,12,14,24,0.0,19,N
2,7,1,1,0,12,4,0.22,6,2.0,1,0.25,16,1,0.0,17,2,48.72,35.88,62721.59,0.58,313,0.03,3484.53,1748.09,0.25,3,6,14,0.19,78,235,25,23,21,5.56,18,N
71,31,7,21,51,50,16,0.19,20,2.5,7,0.44,69,14,0.87,64,1,85.98,28.08,67800.78,0.8,365,0.04,3766.71,2414.37,0.88,15,25,55,0.08,164,201,73,25,208,52.94,85,N
1,3,1,0,0,4,2,0.25,2,2.0,2,1.0,7,1,0.0,8,2,14.6,11.59,1961.37,0.06,36,0.09,108.96,169.22,0.5,1,2,7,0.2,17,19,11,15,10,0.0,8,N
3,3,0,0,0,4,2,0.2,2,2.0,1,0.5,6,1,0.0,10,2,8.79,12.0,1265.83,0.04,27,0.08,70.32,105.49,0.5,1,2,6,0.14,12,15,5,10,14,0.0,10,N
20,9,8,6,10,14,5,0.12,6,2.33,4,0.8,23,3,0.5,35,1,82.63,16.32,22024.66,0.45,224,0.06,1223.59,1349.01,0.6,4,7,20,0.07,100,124,49,16,72,31.37,41,N
18,17,5,4,9,24,10,0.17,12,2.0,10,1.0,36,1,0.0,56,3,86.98,11.25,11008.93,0.33,165,0.09,611.61,978.57,0.1,6,12,28,0.11,69,96,46,15,88,18.84,60,N
5,69,8,0,0,130,35,0.54,62,2.1,11,0.31,141,19,0.53,65,3,70.75,49.5,173359.85,1.17,526,0.02,9631.1,3502.22,0.54,34,65,108,0.44,204,322,68,33,80,0.0,65,N
10,27,0,4,7,34,14,0.48,8,4.25,1,0.07,35,14,1.0,25,0,46.65,17.11,13659.38,0.27,149,0.06,758.85,798.28,1.0,13,17,23,0.25,66,83,27,14,56,30.56,29,N
8,5,1,2,3,8,3,0.38,4,2.0,2,0.67,9,1,0.0,6,0,12.89,11.0,1559.55,0.05,34,0.09,86.64,141.78,0.33,2,4,8,0.15,14,20,7,11,20,45.45,8,N
14,11,4,3,19,20,6,0.19,10,2.0,4,0.67,25,5,0.8,28,0,25.75,23.98,14801.55,0.21,116,0.04,822.31,617.34,0.83,5,10,21,0.09,53,63,21,19,65,44.0,31,N
16,61,8,0,1,114,31,0.33,54,2.11,15,0.48,130,25,0.8,95,2,104.29,36.9,142000.7,1.28,548,0.03,7888.93,3848.26,0.81,30,57,101,0.27,246,302,100,30,113,1.04,95,N
1,15,3,0,0,28,8,0.28,14,2.0,6,0.75,32,6,0.71,29,2,25.81,30.07,23331.58,0.26,143,0.03,1296.2,775.96,0.75,7,14,26,0.26,63,80,22,21,31,0.0,29,N
12,5,1,2,0,8,3,0.17,4,2.0,1,0.33,14,1,0.0,16,2,21.78,37.5,30631.81,0.27,158,0.03,1701.77,816.85,0.33,2,4,13,0.1,75,83,18,18,31,11.11,18,Y
24,13,3,4,26,24,7,0.19,12,2.0,3,0.43,30,1,0.0,33,0,66.19,24.42,39480.4,0.54,262,0.04,2193.36,1616.52,0.14,6,12,25,0.08,127,135,52,20,88,47.62,37,Y
39,8,5,4,32,4,6,0.14,2,2.0,6,1.0,23,1,0.0,38,2,44.55,25.33,28593.41,0.38,198,0.04,1588.52,1128.69,0.17,1,2,19,0.05,88,110,33,19,114,48.65,42,Y
0,3,1,0,2,4,2,0.25,2,2.0,2,1.0,5,1,0.0,8,1,13.45,3.6,174.36,0.02,14,0.28,9.69,48.43,0.5,1,2,5,0.18,6,8,5,6,11,20.0,8,N
6,3,0,0,4,4,2,0.2,2,2.0,1,0.5,6,1,0.0,10,1,26.09,6.67,1159.45,0.06,39,0.15,64.41,173.92,0.5,1,2,6,0.1,16,23,12,10,21,28.57,10,N
1,5,5,1,0,8,3,0.14,4,2.0,3,1.0,15,1,0.0,21,3,41.65,8.64,3111.43,0.12,72,0.12,172.86,360.0,0.33,2,4,14,0.13,33,39,21,11,24,4.55,22,N
3,3,0,0,0,4,2,0.29,2,2.0,1,0.5,6,1,0.0,7,0,8.4,7.0,411.67,0.02,17,0.14,22.87,58.81,0.5,1,2,6,0.18,8,9,4,7,11,0.0,7,N
32,29,1,6,10,56,15,0.43,26,2.15,4,0.27,64,1,0.0,29,0,63.05,32.2,65351.13,0.68,348,0.03,3630.62,2029.85,0.07,15,28,51,0.19,165,183,41,16,78,35.56,35,N
5,7,0,0,0,10,4,0.4,4,2.5,1,0.25,11,1,0.0,10,2,6.98,22.1,3409.75,0.05,37,0.05,189.43,154.29,0.25,3,5,9,0.25,17,20,5,13,16,0.0,10,N
1,3,2,1,0,4,2,0.4,2,2.0,2,1.0,5,1,0.0,4,3,13.87,4.67,302.05,0.02,17,0.21,16.78,64.73,0.5,1,2,5,0.29,7,10,6,8,7,20.0,5,N
2,17,2,0,0,24,9,0.47,8,3.0,4,0.44,32,6,0.63,19,2,26.33,31.74,26522.64,0.28,154,0.03,1473.48,835.64,0.67,8,14,25,0.41,73,81,23,20,22,0.0,19,N
1,5,0,0,0,8,3,0.33,4,2.0,1,0.33,10,1,0.0,9,1,10.4,11.0,1258.94,0.04,28,0.09,69.94,114.45,0.33,2,4,9,0.27,12,16,6,11,11,0.0,9,N
8,8,3,0,1,4,6,0.15,2,2.0,6,1.0,17,1,0.0,39,0,55.83,18.8,19738.62,0.35,186,0.05,1096.59,1049.76,0.17,1,2,13,0.12,73,113,33,17,49,2.5,39,N
6,3,2,2,0,4,2,0.25,2,2.0,2,1.0,7,1,0.0,6,1,22.46,9.0,1819.07,0.07,43,0.11,101.06,202.12,0.5,1,2,7,0.13,18,25,13,13,15,25.0,8,N
1,7,1,0,0,12,4,0.25,6,2.0,1,0.25,15,1,0.0,16,1,13.27,21.0,5851.26,0.09,60,0.05,325.07,278.63,0.25,3,6,13,0.22,28,32,10,15,18,0.0,16,N
9,13,3,3,1,24,7,0.23,12,2.0,4,0.57,30,4,0.5,28,3,51.63,11.64,6990.82,0.2,107,0.09,388.38,600.77,0.57,6,12,25,0.17,48,59,33,16,42,12.5,31,N
5,5,2,0,1,6,3,0.25,2,3.0,1,0.33,9,3,1.0,12,2,18.28,10.0,1828.37,0.06,41,0.1,101.58,182.84,1.0,2,3,8,0.16,20,21,11,11,19,7.69,12,N
23,57,3,0,4,56,33,0.2,24,2.33,11,0.33,102,10,0.28,165,2,160.17,29.21,136707.89,1.56,636,0.03,7594.88,4679.4,0.3,16,28,71,0.17,272,364,135,29,193,2.37,165,Y
26,19,1,4,16,26,11,0.26,12,2.17,2,0.18,34,1,0.0,38,0,33.74,23.2,18157.82,0.26,136,0.04,1008.77,782.66,0.09,7,13,25,0.13,58,78,30,24,85,34.48,42,N
