LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
5,15,0,0,5,26,8,0.2,12,2.17,1,0.13,25,5,0.57,41,1,8,1.0,15.49,65.83,67150.0,0.34,204,0.02,3730.56,1020.0,0.63,7,13,19,0.15,79,125,12,20,53,10.87,41,N
6,7,0,0,6,12,4,0.27,6,2.0,1,0.25,14,4,1.0,15,2,4,1.0,24.1,11.69,3294.46,0.09,58,0.09,183.03,281.76,1.0,3,6,12,0.14,19,39,13,16,29,28.57,15,Y
1,19,1,0,0,36,10,0.23,18,2.0,3,0.3,40,4,0.33,43,2,9,0.9,41.82,26.68,29766.87,0.37,202,0.04,1653.71,1115.76,0.4,9,18,32,0.22,83,119,28,18,46,0.0,43,N
9,3,2,0,6,4,2,0.07,2,2.0,1,0.5,9,1,0.0,30,4,1,0.5,57.3,10.61,6447.25,0.2,115,0.09,358.18,607.82,0.5,1,2,9,0.04,54,61,28,11,47,16.67,30,Y
6,3,1,0,7,4,2,0.15,2,2.0,1,0.5,8,1,0.0,13,1,2,1.0,16.23,21.09,7220.51,0.11,72,0.05,401.14,342.35,0.5,1,2,8,0.07,29,43,11,16,28,35.0,13,Y
6,20,1,1,4,18,13,0.41,6,3.0,7,0.54,31,7,0.5,31,0,8,0.62,28.29,19.0,10212.78,0.18,101,0.05,567.38,537.51,0.54,6,9,20,0.3,38,63,20,20,44,13.89,32,Y
19,19,4,1,12,36,10,0.2,18,2.0,7,0.7,45,7,0.67,48,0,9,0.9,30.16,26.1,20545.64,0.26,150,0.04,1141.42,787.19,0.7,9,18,37,0.12,58,92,20,18,82,21.31,49,Y
10,13,1,1,11,22,7,0.23,10,2.2,3,0.43,26,1,0.0,30,0,7,1.0,25.16,22.0,12176.57,0.18,104,0.05,676.48,553.48,0.14,6,11,21,0.13,44,60,20,20,54,28.57,31,N
2,3,0,2,7,4,2,0.18,2,2.0,1,0.5,6,1,0.0,9,0,2,1.0,13.5,7.33,725.94,0.03,26,0.14,40.33,98.99,0.5,1,2,6,0.09,11,15,6,8,22,50.0,11,N
62,9,6,19,50,16,5,0.08,8,2.0,2,0.4,24,1,0.0,42,0,2,0.4,46.62,31.57,46467.35,0.49,268,0.03,2581.52,1471.82,0.2,4,8,21,0.03,104,164,28,17,175,62.16,61,Y
