LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
2,1,0,0,0,0,1,0.2,0,0.0,1,1.0,1,1,0.0,5,0,18.32,4.5,371.04,0.03,23,0.22,20.61,82.45,1.0,0,0,2,0.11,9,14,6,6,9,0.0,5,N
1,9,2,0,1,0,5,0.36,0,0.0,3,0.6,18,3,0.5,14,1,25.3,10.56,2822.18,0.09,55,0.09,156.79,267.19,0.6,0,0,15,0.29,26,29,16,13,17,6.67,14,N
1,1,0,0,0,0,1,0.5,0,0.0,1,1.0,1,1,0.0,2,1,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.2,1,4,1,4,5,0.0,2,N
12,5,1,2,7,6,3,0.3,2,3.0,2,0.67,8,3,1.0,8,1,16.55,10.11,1692.31,0.06,37,0.1,94.02,167.37,1.0,2,3,7,0.1,13,24,9,14,30,52.94,10,N
4,3,0,0,0,4,2,0.33,2,2.0,1,0.5,7,1,0.0,6,0,11.53,10.5,1271.69,0.04,31,0.1,70.65,121.11,0.5,1,2,7,0.17,14,17,6,9,12,0.0,6,N
1,5,2,0,0,0,3,0.5,0,0.0,2,0.67,11,1,0.0,6,0,18.13,7.5,1020.0,0.05,34,0.13,56.67,136.0,0.33,0,0,10,0.23,9,25,6,10,13,0.0,6,N
15,1,7,0,6,0,1,0.11,0,0.0,1,1.0,8,1,0.0,9,0,36.46,3.0,328.18,0.04,28,0.33,18.23,109.39,1.0,0,0,9,0.03,9,19,9,6,32,40.0,9,N
0,1,0,0,1,0,1,1.0,0,0.0,1,1.0,1,1,0.0,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,0.25,0,1,0,1,4,50.0,1,N
2,13,8,2,0,0,8,0.21,0,0.0,8,1.0,33,5,0.57,37,1,34.99,21.11,15596.05,0.25,133,0.05,866.45,738.76,0.63,0,0,27,0.19,57,76,27,20,42,5.13,39,N
13,5,5,1,6,8,3,0.19,4,2.0,2,0.67,14,1,0.0,15,0,32.92,10.73,3787.08,0.12,70,0.09,210.39,353.11,0.33,2,4,13,0.08,33,37,20,13,37,31.82,16,N
11,9,3,6,11,16,5,0.11,8,2.0,4,0.8,23,1,0.0,40,1,32.18,22.75,16658.75,0.24,154,0.04,925.49,732.25,0.2,4,8,20,0.07,49,105,14,13,70,29.82,46,Y
6,5,1,1,2,8,3,0.2,4,2.0,2,0.67,11,1,0.0,14,0,12.24,14.57,2599.73,0.06,42,0.07,144.43,178.41,0.33,2,4,10,0.12,17,25,7,12,25,17.65,15,Y
27,5,1,5,25,8,3,0.09,4,2.0,3,1.0,31,1,0.0,30,0,51.95,30.8,49286.33,0.53,323,0.03,2738.13,1600.21,0.33,2,4,30,0.03,112,211,20,11,89,50.0,35,Y
3,3,0,0,0,4,2,0.15,2,2.0,1,0.5,6,1,0.0,13,0,12.62,8.8,976.92,0.04,30,0.11,54.27,111.01,0.5,1,2,6,0.11,11,19,5,8,19,0.0,13,N
1,7,0,0,0,12,4,0.24,6,2.0,1,0.25,14,1,0.0,17,1,15.86,20.63,6746.24,0.11,77,0.05,374.79,327.09,0.25,3,6,12,0.2,30,47,8,11,20,0.0,17,N
26,9,3,7,25,16,5,0.17,8,2.0,3,0.6,22,1,0.0,22,0,29.78,16.47,8078.25,0.16,99,0.06,448.79,490.47,0.2,4,8,19,0.06,40,59,17,14,81,59.26,29,N
30,21,7,9,27,40,11,0.22,20,2.0,5,0.45,49,7,0.6,42,3,37.79,30.0,34007.12,0.38,213,0.03,1889.28,1133.57,0.64,10,20,40,0.1,90,123,24,16,111,46.15,51,N
13,3,2,0,11,4,2,0.06,2,2.0,1,0.5,15,1,0.0,32,0,39.18,18.35,13195.42,0.24,148,0.05,733.08,718.98,0.5,1,2,15,0.03,52,96,17,12,58,25.58,32,N
7,5,1,1,3,8,3,0.13,4,2.0,3,1.0,12,1,0.0,22,2,22.3,13.8,4246.27,0.1,69,0.07,235.9,307.7,0.33,2,4,11,0.08,23,46,10,12,37,15.38,23,Y
13,1,1,1,9,0,1,0.09,0,0.0,1,1.0,2,1,0.0,10,2,30.05,9.31,2603.2,0.09,61,0.11,144.62,279.68,1.0,0,0,3,0.03,22,39,13,11,34,50.0,11,N
18,12,1,19,5,12,8,0.15,6,2.0,5,0.63,24,1,0.0,35,2,18.0,124.37,278423.08,0.75,433,0.01,15467.95,2238.58,0.13,3,6,18,0.1,199,234,16,20,81,40.68,54,N
28,7,3,4,14,10,4,0.21,4,2.5,2,0.5,14,3,0.67,15,0,30.78,13.5,5608.87,0.14,81,0.07,311.6,415.47,0.75,3,5,12,0.05,36,45,20,15,78,54.55,19,N
22,12,3,2,12,16,7,0.13,8,2.0,6,0.86,26,1,0.0,52,1,28.14,26.11,19184.09,0.24,140,0.04,1065.78,734.71,0.14,4,8,21,0.07,47,93,18,20,99,21.21,54,N
8,143,14,3,0,0,73,0.51,0,0.0,60,0.82,357,15,0.19,139,0,104.26,72.74,551711.63,2.53,1052,0.01,30650.65,7584.34,0.21,0,0,286,0.48,507,545,115,33,151,2.11,142,N
3,3,0,0,0,4,2,0.25,2,2.0,1,0.5,6,1,0.0,8,2,9.64,9.6,888.11,0.03,25,0.1,49.34,92.51,0.5,1,2,6,0.14,12,13,5,8,14,0.0,8,N
5,1,0,0,0,0,1,0.13,0,0.0,1,1.0,1,1,0.0,8,0,10.92,9.0,884.41,0.03,31,0.11,49.13,98.27,1.0,0,0,2,0.07,9,22,3,6,15,0.0,8,N
9,7,1,0,0,10,4,0.21,4,2.5,2,0.5,13,1,0.0,19,1,11.75,19.5,4466.71,0.08,53,0.05,248.15,229.06,0.25,3,5,11,0.13,13,40,5,15,30,0.0,19,N
7,7,4,0,3,4,5,0.15,2,2.0,5,1.0,14,1,0.0,34,1,27.52,17.41,8344.02,0.16,95,0.06,463.56,479.22,0.2,1,2,11,0.11,37,58,17,16,46,8.1,34,N
5,3,3,0,12,4,2,0.25,2,2.0,2,1.0,7,1,0.0,8,0,18.01,6.25,703.67,0.04,27,0.16,39.09,112.59,0.5,1,2,7,0.07,10,17,8,10,27,60.0,8,N
0,1,1,0,0,0,1,0.2,0,0.0,1,1.0,2,1,0.0,5,2,12.18,3.0,109.62,0.01,11,0.33,6.09,36.54,1.0,0,0,3,0.17,4,7,4,6,6,0.0,5,N
6,7,3,3,5,12,4,0.57,6,2.0,4,1.0,13,1,0.0,4,0,16.02,5.4,467.02,0.03,25,0.19,25.95,86.49,0.25,3,6,11,0.2,9,16,5,6,20,66.67,7,N
0,1,2,0,0,0,1,0.2,0,0.0,1,1.0,3,1,0.0,5,1,18.28,5.0,456.88,0.03,24,0.2,25.38,91.38,1.0,0,0,4,0.14,10,14,7,7,7,0.0,5,N
1,3,3,1,0,0,2,0.25,0,0.0,2,1.0,8,1,0.0,7,0,20.61,6.5,870.87,0.04,31,0.15,48.38,133.98,0.5,0,0,8,0.18,13,18,10,10,11,12.5,8,N
19,11,1,9,17,20,6,0.15,10,2.0,1,0.17,27,1,0.0,32,0,32.58,28.39,26259.72,0.31,185,0.04,1458.87,925.0,0.17,5,10,23,0.08,73,112,18,14,79,44.83,41,N
1,1,0,0,4,4,1,0.14,2,2.0,1,1.0,1,1,0.0,7,0,12.14,6.4,497.34,0.03,21,0.16,27.63,77.71,1.0,1,2,2,0.07,8,13,5,8,14,36.36,7,N
