LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
2,3,0,0,8,4,2,0.22,2,2.0,1,0.5,6,1,0.0,9,0,11.86,4.38,227.03,0.02,15,0.23,12.61,51.89,0.5,1,2,6,0.22,5,10,4,7,9,47.06,9,N
3,3,0,2,2,4,2,0.15,2,2.0,1,0.5,5,1,0.0,11,2,10.9,12.0,1569.59,0.04,32,0.08,87.2,130.8,0.5,1,2,5,0.11,10,22,5,12,19,26.67,13,N
38,35,4,5,70,58,18,0.17,24,2.42,7,0.39,67,13,0.71,104,2,58.36,41.38,99929.77,0.8,372,0.02,5551.65,2414.97,0.72,17,29,51,0.08,150,222,58,32,218,41.9,109,N
1,7,5,0,12,12,4,0.1,6,2.0,3,0.75,20,3,0.67,41,0,56.52,13.19,9840.36,0.25,129,0.08,546.69,745.8,0.75,3,6,18,0.06,50,79,36,19,68,22.64,41,Y
9,15,4,14,22,28,8,0.2,14,2.0,6,0.75,30,4,0.43,27,6,35.27,13.74,6655.21,0.16,93,0.07,369.73,484.48,0.5,7,14,24,0.11,29,64,19,18,73,57.14,41,N
13,9,5,12,16,16,5,0.14,8,2.0,5,1.0,21,5,1.0,25,4,38.51,14.25,7820.87,0.18,107,0.07,434.49,548.83,1.0,4,8,18,0.07,38,69,20,15,67,52.83,37,N
1,5,0,0,0,8,3,0.33,4,2.0,1,0.33,9,1,0.0,9,1,12.09,14.14,2417.96,0.06,41,0.07,134.33,170.97,0.33,2,4,8,0.27,18,23,7,11,11,0.0,9,N
4,7,2,1,7,10,4,0.16,4,2.5,3,0.75,14,3,0.67,24,1,30.72,19.13,11241.58,0.2,107,0.05,624.53,587.63,0.75,3,5,12,0.11,40,67,23,22,37,25.0,25,Y
8,3,1,6,5,4,2,0.11,2,2.0,1,0.5,7,1,0.0,13,1,29.61,9.15,2480.95,0.09,57,0.11,137.83,271.03,0.5,1,2,7,0.06,17,40,13,14,33,45.83,19,N
11,11,1,14,5,20,6,0.15,10,2.0,2,0.33,26,1,0.0,27,1,48.56,33.51,54539.1,0.54,279,0.03,3029.95,1627.38,0.17,5,10,22,0.1,124,155,37,20,58,41.3,41,N
